name,description,instructors,year
Fundamentals of GPU-Accelerated Workflows with CUDA Python,"This course delivers a hands-on introduction to GPU-accelerated computing in Python, empowering developers to build fast, scalable applications using NVIDIA’s CUDA ecosystem. Through guided notebooks, participants master CuPy for array acceleration, cuDF for GPU DataFrames, and the cuda-python API to write custom kernels—all without leaving Python. Real-world exercises in data science, machine learning, and scientific computing emphasize performance, interoperability, and end-to-end efficiency.
Learners progress from drop-in speedups to fully integrated GPU pipelines, mastering data movement, asynchronous execution, and profiling with Nsight tools. By the end, attendees can transform CPU-bound Python code into production-grade GPU solutions, bridge prototyping to deployment, and apply best practices for performance and reproducibility in modern accelerated computing.

Learning Objectives
By the end of this course, you will be able to:
- Build end-to-end GPU-accelerated applications using CUDA Python and interoperable libraries
- Write, compile, and launch custom CUDA kernels directly in Python
- Accelerate numerical and analytical workloads with CuPy and cuDF as drop-in replacements for NumPy and Pandas
- Integrate GPU operations seamlessly into data science, ML, and HPC pipelines
- Ensure reproducibility, performance, and scalability using Nsight profiling and best-practice design patterns",Katrina Riehl // Bryce Lelbach,2026
Building AI Agents with Multimodal Models,"Just like how humans have multiple senses to perceive the world around them, computers have a variety of sensors to help perceive the human world. In the health industry, computed tomography (CT) scans provide a 3D representation used to detect potentially dangerous abnormalities. In the robotics industry, lidars are used to help robots see depth and navigate the complex topology around them. In this course, learners will develop neural network based multimodal models that can understand many different data types by exploring different fusion techniques.
In this course, you will learn about:
* Different data types and how to make them neural network ready.
* Model fusion, and the differences between early, late, and intermediate fusion
* Structure loss and how to avoid it
* The difference between modality and agent orchestration
* Applications of NVIDIA AI Blueprints for Visual AI Agents with VSSUpon completion, you will be able to build multimodal Models and deploy Visual AI Agents with NVIDIA AI Blueprints",Mark Moyou,2026
"How to Simulate, Train, Validate, and Deploy an End-to-End Robotics Workflow with NVIDIA Isaac","In this full-day workshop, we'll guide you through an end-to-end robotic workflow—from simulation-based training to real-world robot deployment. You'll simulate the robot in NVIDIA Isaac Sim™, train the policies in Isaac Lab, validate the trained skills through software-in-the-loop testing, and deploy them to physical robots. Through practical exercises, you'll gain end-to-end experience in the techniques that bridge the sim-to-real gap: synthetic data generation, policy training and refinement, hardware testing on edge devices, and real-robot deployment. This workshop demonstrates how simulation accelerates robot learning and reduces the time and cost of bringing AI-powered automation to production environments.

Key takeaways:
• Train robot policies and behaviors using simulation-based workflows
• Validate trained policies through software-in-the-loop (SIL) and hardware-in-the-loop (HIL) testing methodologies
• Apply sim-to-real techniques to bridge the gap between simulation validation and physical robot performance
• Deploy trained models to physical robots and execute real-world tasks
• Debug and optimize policies on real-world robots",Maycon da Silva Carvalho // Kartik Sachdev // Lior Ben Horin // Zhijin Li // Jieming Cui // Steven Palma // Jade Choghari,2026
Adding New Knowledge to LLMs,"In today's AI landscape, even powerful Large Language Models (LLMs) face limitations when confronted with specialized business knowledge, technical domains, or cultural contexts absent from their training data. While retrieval-augmented generation can mitigate some gaps, true domain mastery requires deeper model adaptation.

This comprehensive workshop equips developers with hands-on skills to transform open-source LLMs into domain-specialized AI assets. Through five interconnected modules, you'll master the complete lifecycle of model customization:

1. **Systematic Evaluation & Dataset Creation**: Build custom evaluation benchmarks using NeMo Evaluator to identify model limitations and track engineering progress. Learn metrics that matter for your specific use case.

2. **Advanced Data Curation**: Implement state-of-the-art data cleaning pipelines with NeMo Curator to assemble high-quality domain-specific datasets that address your business or cultural requirements.

3. **Targeted Knowledge Injection**: Master multiple adaptation techniques including in-context learning, Parameter-Efficient Fine-Tuning (PEFT), Continued Pre-Training (CPT), Supervised Fine-Tuning (SFT), and Reinforcement Learning from Human Feedback (RLHF).

4. **Model Optimization**: Apply distillation, quantization, and pruning techniques with NeMo Model Optimizer and TensorRT-LLM to dramatically reduce inference costs without sacrificing performance.

5. **Production Deployment**: Learn to deploy, monitor, and scale your custom models within Kubernetes environments using NVIDIA Inference Microservices (NIMs).

By workshop completion, you'll possess the complete technical skillset to develop, deploy, and operate sovereign AI systems tailored to your specific requirements - from data preparation to production scaling. Bring your laptop; we'll provide the GPUs.",John Jahanipour,2026
Deploying and Optimizing AI Inference at Scale,"As foundation models move toward deeper test-time computation, inference becomes the dominant scaling constraint. Latency, throughput, and cost are governed by a small set of forces: autoregressive decoding, KV-cache growth, memory bandwidth, and scheduling under contention. This workshop frames large-scale inference through these emerging laws of inference, starting from first principles and building toward real systems. Learners begin with monolithic and gateway-based vLLM deployments on Kubernetes to establish baseline behavior, then transition to NVIDIA Dynamo to operate aggregated and disaggregated inference architectures using built-in KV-aware routing and scheduling. A core emphasis is observability: attendees will deploy a full stack (Prometheus, Grafana, Loki, Tempo) to monitor metrics, capture structured logs, and perform distributed tracing. The outcome is a principled understanding of where inference time and money go - and how architectural choices bend those curves in production.",Anshul Jindal // Mohak Chadha // Severine Habert,2026
OpenUSD Crash Course: Build 3D Data Pipelines for Physical AI,"Discover how OpenUSD principles and Python scripting can build scalable 3D data pipelines for manufacturing, robotics, and physical AI applications. Throughout this full-day workshop, you'll learn composition arc techniques, asset hierarchy design, and performance optimization strategies essential for production pipelines. Develop practical skills in automating 3D asset workflows, managing complex scene data, and preparing simulation environments for physical AI training. This workshop directly prepares you for the NVIDIA-Certified Professional: OpenUSD Development exam.

Key takeaways:
• Apply USD Python for programmatic scene creation and asset management
• Compose complex USD scenes using references, payloads, variant sets, and LIVERPS strength ordering
• Structure asset hierarchies and layer stacks to support production-scale pipelines
• Apply data exchange principles for extracting, transforming, and validating USD data
• Optimize scene performance through instancing and modular design for large-scale simulations",Daniel Roizman,2026
Building LLM Applications with Prompt Engineering,"With the incredible capabilities of large language models (LLMs), enterprises are eager to integrate them into their products and internal applications for a wide variety of use cases, including (but not limited to) text generation, large-scale document analysis, and chatbot assistants.

The fastest way to begin leveraging LLMs for diverse tasks is by using modern prompt engineering techniques. These techniques are also foundational for more advanced LLM-based methods such as Retrieval-Augmented Generation (RAG) and Parameter-Efficient Fine-Tuning (PEFT). In this workshop, learners will work with an NVIDIA language model NIM, powered by the open-source Llama-3.1 large language model, alongside the popular LangChain library. The workshop will provide a foundational skill set for building a range of LLM-based applications using prompt engineering. By the end of the workshop, you will:

- Understand how to apply iterative prompt engineering best practices to create LLM-based applications for various language-related tasks.
- Be proficient in using LangChain to organize and compose LLM workflows.
- Write application code to harness LLMs for generative tasks, document analysis, chatbot applications, and more.",Matt Linder,2026
Building Observable and Scalable Multi-Agent Workflows for Asset Lifecycle Management,"Learn to develop multi-agent workflows tailored for Asset Lifecycle Management use cases within industrial process applications. You'll be introduced to the NVIDIA open-source NeMo Agent Toolkit (NAT) and its key features, enabling the creation of a comprehensive and customizable reference solution for this use case. You'll also be guided in effectively utilizing other components of NVIDIA AI stack, including NVIDIA Inference Microservices (NIM), cloud endpoints, and NVIDIA Tesseract time series foundational models. These components are used to design agents capable of executing frequently performed tasks such as data querying and analysis, Forecasting, Remaining useful life prediction, and Anomaly detection. Furthermore, you will gain insight into NAT’s marquee features, such as workflow observability and sizing, prompt optimization, and third party connections, which are essential for deployment and maintenance of multi-agent solutions in enterprise production environments.

In this workshop you'll learn how to: 
* Develop multi-agent workflows from scratch using NAT with the popular NASA Turbofan engine time series dataset.
* Understand the internals of mulit-agent solutions through NAT framework features such as agent configurations, tool definitions and eval harness.
* Enhance the capabilities of the solution such as modifying existing tools definitions, adding new tools, and prompt engineering.
* Improve the solution's functionality, focusing on modifying existing tool definitions, creating new tools, and refining prompts through engineering.
* Leverage observability and monitoring features to gain fine-grained visibility into the end-to-end workflow to identify latency bottlenecks and accuracy issues.",Vineeth Kalluru // Viraj Modak,2026
Accelerated Networking for AI Infrastructure,"Gain a holistic understanding of AI factory networking, exploring how key communication methods between GPUs, racks, and storage shape overall AI performance and scalability.

Bring your own laptop and experience AI factory networking in action. In AI factories, the network is critical to maximizing performance. You’ll see how networking choices shape AI workload performance and scalability, then configure key pieces yourself in guided labs. 

We start with a level set session that walks through essential communication paths in an AI factory deployments: east-west GPU-to-GPU communication across racks with InfiniBand, north south and storage connectivity over Spectrum-X Ethernet, and low latency, high bandwidth NVLINK communication between GPUs within the same rack.

By the end of the session, you’ll be familiar with the key networking technologies that underpin AI factories and have a clear view of how network design decisions translate directly into faster, more efficient AI workloads.

Prerequisite(s):

Basic Linux administration skills, including directory navigation, file management, and text editing with nano or vim are required.
Intermediate TCP/IP networking experience is expected, with familiarity in L2/L3 protocols, IP networking concepts, and proficiency using tools such as iperf, wireshark, and the command line.

Key takeaways:
• Explore InfiniBand as the AI compute fabric
• Work with Spectrum X for Ethernet based north south and storage traffic
• Configure NVLINK for rack level GPU partitioning",Nawar Nawar,2026
Create Vision AI Applications With Generative AI Coding Agents,"Computer vision is a cornerstone of the generative AI revolution, providing the essential visual metadata required by vision language models (VLMs) to extract actionable insights. In this two-hour instructor-led workshop, you will learn how to GPU-accelerate your video analytics workflow by combining the NVIDIA DeepStream SDK with the power of prompt engineering.

Discover how to generate complete, GPU-accelerated DeepStream pipelines using simple natural language prompts. Whether you are a developer new to DeepStream or an advanced user looking to accelerate your prototyping, this course demonstrates how to produce intuitive, readable Python applications without the manual overhead. Join us to bridge the gap between traditional video analytics and modern GenAI development.
 
Prerequisite(s):

Understanding of Python and basic knowledge of computer vision models.

Key takeaways:
• Understand how computer vision, video analytics, and VLMs fit together to power generative AI applications that turn visual data into actionable insights.
• Learn to use natural language prompts to automatically generate complete, GPU-accelerated NVIDIA DeepStream pipelines, reducing the need for manual boilerplate coding.
• Leave with practical experience building readable Python-based Vision AI apps faster, helping you move from traditional video analytics toward modern GenAI-driven development workflows.",Carlos Garcia-Sierra // Monika Jhuria,2026
Assembling Industrial Digital Twins with OpenUSD and NVIDIA Omniverse Libraries,"In this hands-on lab, participants will explore how to build industrial digital twins from manufacturing facilities to AI factories, using OpenUSD and NVIDIA Omniverse libraries, drawing on real-world collaboration with industry leaders. The session walks through an end-to-end workflow, from CAD models to full digital twin assembly, demonstrating how manufacturers are transforming design and production through simulation and interoperability.
 
Prerequisite(s):

Intermediate experience with 3D content concepts: meshes, materials, transforms, scene hierarchies, and USD fundamentals
Familiarity with manufacturing workflows, factory layouts, or industrial automation processes
Basic Python scripting experience for automation and integration tasks
Knowledge of data integration concepts and structured data formats

Key takeaways:
• Ingest CAD data into OpenUSD to accelerate scene Assembly for digital twins.
• Organize project assets effectively through recommended folder structures and OpenUSD best practices.
• Configure asset libraries, assign materials, and set up realistic lighting for accurate visualization.",Jay Axe // Ernesto Pacheco,2026
How to Run AI-Powered Computer-Aided Engineering Simulations,"In this lab, we explore how to build AI surrogate models for crash simulations, one of the most computationally intensive tasks in computer aided-engineering (CAE). Learn how modern AI architectures can reproduce high-fidelity physics simulations at a fraction of the cost, enabling faster design exploration and decision-making. We'll walk through the full workflow for developing an AI surrogate for CAE applications, including data preparation and analysis, training and optimization, loading and running inference with pre-trained models, and evaluating model accuracy and uncertainty. We'll also discuss how AI-accelerated workflows are transforming CAE across various industries and areas of research, and how these tools can integrate seamlessly into existing engineering pipelines.

Prerequisite(s):

Basic understanding of engineering or scientific modeling workflows and the associated technical terminology
Basic programming knowledge in Python (data structures, functions, basic libraries)
Understanding of deep learning concepts (neural networks, training, inference)
Experience with PyTorch or similar ML frameworks
Experience with Linux command line operations
Basic understanding of data preprocessing techniques
Basic knowledge of parallel computing concepts
Understanding of model validation and verification methods

Key takeaways:
• Learn how to construct an AI surrogate to accelerate CAE workflows.
• Understand how modern AI architectures model dynamic crash behavior.
• Learn how to assess accuracy and error quantification for AI models.
• Learn how to integrate AI surrogates into existing engineering workflows.
• Understand how AI-accelerated CAE is used across industrial engineering workflows.",Mark Hobbs // Pablo Hermoso Moreno // Ira Shokar,2026
"Fine-Tune a Telco Reasoning Model: A Guide to Synthetic Data, Tool Calling, and Evaluation","Network operation centers (NoC) are the central nervous system of telecommunications, but they are often overwhelmed by ""alarm storms."" In a traditional setup, engineers manually validate alarms, swivel between multiple dashboards, check topologies, and perform root-cause analysis. This manual process is time-consuming and prone to fatigue. To solve this, we are moving toward zero-touch, self-healing networks. In this tutorial, we'll walk through creating a fine-tuning playbook that integrates synthetic data generation, training, and evaluation pipelines. We'll demonstrate how to build an AI-driven reasoning model capable of autonomously performing NoC engineer workflows — detecting issues, calling tools, and remediating incidents without human intervention.
 
Prerequisite(s):

 Familiarity with Python, LLM fine-tuning concepts, and basic containerization.

Key takeaways:
• How to process raw incident data into training datasets.
• How to use a ""Teacher"" model to generate synthetic reasoning traces.
• How to fine-tune a ""Student"" model using NVIDIA NeMo.
• How to evaluate the agent's ability to call tools and solve real-world problems.",Amparo Canaveras // Aiden Chang // Ari Uskudar // Rajeshwari Devaramani,2026
Build a Video Analytics AI Agent With Vision Language Models,"New vision language models (VLMs) are transforming computer vision with scalable, reasoning zero-shot solutions. Learn about Cosmos Reason — a new open and fully customizable reasoning VLM for physical AI and robotics — that lets robots and vision AI agents reason like humans, using prior knowledge, physics understanding, and common sense to understand and act in the real world. In this lab, you'll build a video analytics AI agent using the NVIDIA Blueprint for Video Search and Summarization (VSS) with Cosmos Reason VLM.
 
Prerequisite(s):

Basic understanding of computer vision models.

Key takeaways:
• Understand reasoning VLMs for physical AI
• Build a project with a video analytics AI agent using NVIDIA VSS Blueprint
• Design zero-shot, scalable video workflows for robotics and vision AI",Sammy Ochoa // Hassan Moustafa,2026
Automate 3D Data Pipelines With USD Exchange SDK,"Learn how to build robust OpenUSD-based data pipelines using USD Exchange SDK, to leverage existing 3D software and tools for scalable physical AI workflows. Start from common 3D source formats and write Python-based code to extract, transform, and load assets into reusable, modular USD representations suitable for large-scale workflows.
Through guided, hands-on exercises, structure 3D content into composable USD assets, apply simulation-ready (“SimReady”) standards, and enrich assets with rigid-body physics that support downstream robotics and simulation workloads. By the end, you'll have automated an asset conversion pipeline capable of processing large 3D datasets, for a practical blueprint to adapt to own production environment. 

Prerequisite(s):

Intermediate experience with Python: working with packages, virtual environments, basic scripting.

Familiarity with content concepts: meshes, materials, transforms, scene hierarchies common to 3D modeling applications.

Understand command-line usage for running scripts, managing project files.

Recommended:

Completed Learn OpenUSD curriculum, covering fundamentals of USD-based scene representation and concepts (stages, layers, prims, composition).

Basic familiarity with robotics, simulation or general 3D content workflows (simulation tools, physics-enabled assets).

Key takeaways:
• Write Python code to convert 3D assets from source formats to OpenUSD using proper ETL (extract, transform, load) design patterns.
• Structure 3D content into reusable and modular assets using USD Exchange SDK.
• Implement and validate SimReady standards and augment assets with rigid body scene description.
• Automate asset conversion pipelines for large-scale 3D workflows.",Andrew Kaufman // Aaron Luk,2026
Scalable and Resilient Training with NeMo Megatron-Bridge,"As modern data centers evolve into AI factories, training foundational models becomes critical. But scaling these training pipelines across tens of thousands of GPUs introduces significant challenges—such as node failures, network errors, checkpointing overhead—that can quickly turn occasional anomalies into frequent production issues. In our hands-on lab, learn about the challenges of running training pipelines and how to integrate resiliency and fault-tolerance features. We'll present various fault-tolerance mechanisms provided in frameworks like NVRx and PyTorch, and demonstrate how to achieve robust, scalable training in modern AI factories using NVIDIA NeMo. Gain practical insights into techniques for measuring I/O and overall infrastructure performance. You should be familiar with Python and deep learning frameworks, understand LLM training concepts, and be comfortable with Linux.

Key takeaways:
• Understand fault-tolerance and resiliency mechanisms available in large-scale training frameworks and libraries (Megatron-Bridge, Megatron-LM, NVRx, PyTorch).
• Learn how to use and quantify the benefits of advanced checkpointing strategies, such as asynchronous, local, and hierarchical checkpointing.
• Understand how to measure end-to-end training performance in AI factories, including checkpointing.
• Implement fault-tolerant techniques to detect and handle failures, such as hung ranks, stragglers, and job restart mechanisms.",Mohak Chadha // Pramod Kumbhar // Shreya Gupta,2026
Develop Production Agents with Eval-Driven Design,"This training lab will explore new techniques for building robust, production-ready AI agents by focusing on an evaluation-driven design workflow. You'll learn how we use human-created datasets for iterative improvement and how to apply continuous eval and iterate cycles, including prompt changes and experimentation, to significantly improve agent performance.
 
Prerequisite(s):

The prerequisites for this course are practical familiarity with AI/ML fundamentals, including Large Language Models (LLMs), and programming proficiency in Python.

Attendees should also have a working understanding of basic prompt engineering and experience with the overall lifecycle of building an AI application, as the lab is focused on the advanced, production-ready stage of evaluation and iterative design.

Key takeaways:
• Implement an evaluation-driven design (EDD) methodology to continuously measure and refine agent performance using both human-created and synthesized datasets.
• Explore new techniques for constructing and augmenting high-quality, human-curated datasets essential for benchmarking and ensuring your agents are ready for production.
• Dive deep into practical experimentation and prompt engineering strategies — including data designer and optimizer roles — to iteratively enhance agent reliability and capabilities.
• Develop a clear, repeatable workflow for the iterative deployment and improvement of AI agents, moving them efficiently from a base model to a fully production-ready solution.",Dhruv Nandakumar,2026
Build Robot-Ready Assets for Physically Accurate Simulations With Lightwheel,"In this hands-on lab, Lightwheel, a leading provider of simulation-ready assets, platforms, and synthetic data for embodied AI, guides you through the complete SimReady asset preparation workflow. You’ll learn to generate high-fidelity synthetic data using OpenUSD, configure accurate physics properties (mass, friction, collision geometry) with PhysX and Newton, and add semantic metadata along with manipulation affordances. You’ll validate your work by deploying trained robot agents inside NVIDIA Isaac Sim. By the end of the lab, you’ll know how to build simulation-ready scenes that support real-to-sim calibration and sim-to-real transfer, enabling robots to learn robustly in simulation and perform reliably in the real world.
 
Prerequisite(s):

Basic familiarity with 3D content concepts (meshes, materials, transforms) and modeling software
Understanding of physics simulation fundamentals (mass, friction, collision)
Familiarity with robotics terminology (end-effector, gripper, kinematics)

Recommended:

Familiarity with Isaac Sim (recommended course: Getting Started With Isaac Sim).

Key takeaways:
• Analyze existing 3D assets and identify required physics properties, semantic information, and simulation-critical metadata required for robot training.
• Configure physics properties (rigid body dynamics, collision geometry, friction, mass distribution) to ensure physically accurate simulation behavior.
• Apply semantic tagging and metadata to assets, enabling robots to understand object categories, manipulation affordances, and contextual constraints.
• Validate robot-ready assets in NVIDIA Isaac Sim by deploying trained robot policies and observing successful interactions.
• Explain how physics accuracy in simulation directly impacts robot learning performance and real-world transfer success.",Frank Chen <> // Siyi Lin <>,2026
Build Agentic Workflows for Financial Applications,"We'll walk you through how to turn financial services workflows into end‑to‑end AI agents, covering orchestration, tools, retrieval, and guardrails tailored to domain-specific applications in the financial services industry (FSI). Using NVIDIA’s NeMo Agent Toolkit and Blueprints, you'll get hands on to building multi‑agent systems that support use cases such as investment research and agentic commerce.
 
Prerequisite(s):

Participants should be comfortable with basic Python and familiar with core AI/ML or LLM concepts so they can follow the code and agent patterns efficiently.
Experience working with financial services data or workflows (e.g., banking, insurance, payments) is recommended but not required; the material is designed for technical practitioners such as data scientists, ML engineers, and developers who want to build or own FSI agentic AI solutions.

Key takeaways:
• Gain a comprehensive overview of the NVIDIA NeMo Agent Toolkit to orchestrate LLMs that reason, plan, and execute complex financial tasks.
• Build domain-specific FSI agents that can reason over complex financial data and (catalog data) using NVIDIA NeMo and Nemotron.
• Gain hands-on experience with NVIDIA NeMo Agent Toolkit, including building ReAct-style agents, connecting tools and data sources, and using observability features to inspect latency, tool calls, and behavior.
• Get a practical understanding of agentic AI concepts (intent handling, tool use, retrieval-augmented generation, orchestration) and how they map to common FSI workflows such as product recommendation, research, and decision support.",Benjamin Wu // David Williams // Flora Huang,2026
How to Provision and Install NVIDIA Run:ai,"Get grounded in the practical fundamentals of deploying NVIDIA Run:ai from the ground up. This lab walks you through every stage of installation—from environment preparation to final validation—so you can confidently stand-up Run:ai within your own organization. Follow a guided, instructor-led deployment in your provided lab environment, learn how to verify installations, and practice diagnosing and resolving common setup issues. Whether you’re preparing for full production rollout or building a proof of concept, this session delivers the skills to deploy successfully and maintain stability.
 
Prerequisite(s):

General experience with Kubernetes cluster administration.
Basic understanding of containerized workloads and GPU infrastructure.

Key takeaways:
• Understand the full setup requirements and architecture for installing Run:ai.
• Complete an end-to-end, instructor-led installation in a real lab environment.
• Learn how to validate deployment success and troubleshoot installation challenges.",David Whitehouse,2026
"Compress, Cut, and Distill: The Latest Gen AI Model Compression Techniques in Practice","This training lab explores the art and engineering of compressing large language models to make them cheaper, faster, and easier to deploy while preserving practical capability. Designed for a broad audience that spans beginners to advanced practitioners, the workshop will introduce foundational concepts for newcomers, share implementation patterns and pitfalls for experienced engineers, and highlight cutting-edge research directions for specialists.
 
Prerequisite(s):

Familiarity with Python/PyTorch: Proficiency in Python programming and basic hands-on experience using deep learning frameworks.
Conceptual Knowledge of Deep Learning: Basic understanding of neural networks, backpropagation, and the model fine-tuning process.
Familiarity with LLM Architectures: Conceptual understanding of the Transformer architecture, including components like attention mechanisms and feed-forward networks.

Key takeaways:
• Demystify Compression: Move beyond theory to show how pruning and quantization interact with actual hardware constraints on the NVIDIA stack.
• Enable Efficient Deployment: Equip practitioners, researchers, and HPC developers with actionable recipes and design trade-offs.
• Skill Building: Through hands-on labs, learn strategies to maximize GPU utilization, improve node-level throughput, and reduce end-to-end time-to-solution.",Harshita Seth // Lavinia Ghita // Sergio Perez // Liana Mikaelyan,2026
OpenUSD Asset Integration and Data Review With Clash Detection,"Integrate clash detection into your OpenUSD-based digital twin workflows using NVIDIA Omniverse libraries. In this lab, we’ll ensure ingested assets are run through conflict analysis using the Clash Detection SDK. You’ll create and execute collision detection queries, inspect and visualize results in an Omniverse viewport, and implement robust overlap detection in complex 3D scenes. We will learn the fundamentals of simulation for digital twins, engineering validation, and automated design verification workflows.
 
Prerequisite(s):

Familiarity with CAD workflows, 3D modeling concepts
Basic understanding of simulation concepts and collision detection principles
Experience navigating 3D viewports and interactive visualization environments
Intermediate scripting experience with Python

Key takeaways:
• Explore Omniverse Clash SDK, APIs and reference implementation for clash detection.
• Perform interactive clearance and conflict checks and what-if scenario analysis on USD stages with engineering and factory data.
• Validate layouts, visualize results, generate layout review reports and identify metadata for resolving clashes on complex stages.",Martin Vovk,2026
"Build Cost-Effective, Scalable RAG Pipelines: From Ingestion to Response Generation","We'll walk you through the full life cycle of a RAG pipeline: data ingestion, chunking and embedding, retrieval orchestration, and response generation, emphasizing robustness techniques such as hybrid retrieval, fallback strategies, caching, and constraint-aware prompting, along with patterns for monitoring quality and detecting drift over time. You'll also explore scaling concerns, including index sharding, cost-aware architecture choices, and aligning RAG design with product requirements and service-level agreements. By the end, you'll have implemented and evaluated a RAG pipeline that balances answer quality, latency, and reliability, providing a template for deploying similar systems in production.

Key takeaways:
• Understand core RAG building blocks (chunking, embeddings, indexing, retrieval, generation) and how design choices in each stage affect relevance, latency, and cost.
• Learn practical robustness patterns — such as hybrid retrieval, fallback logic, and evaluation loops — to make RAG systems more reliable under noisy, incomplete, or evolving data.
• Gain hands-on experience implementing and instrumenting a scalable RAG pipeline that can be monitored, tuned, and extended for real-world production use cases.",Ruchika Kharwar,2026
The Kaggle Grandmasters Playbook: Battle-Tested Modeling Techniques for Tabular Data,"Our workshop highlights proven strategies for tabular data developed by NVIDIA’s Kaggle grandmasters, who have earned top honors in hundreds of international data science competitions. You'll practice rapid electronic design automation (EDA), large-scale feature engineering, model building, ensembling, and pseudo-labeling — all accelerated with GPUs for faster experimentation and better accuracy.
 
Prerequisite(s):

Basic Python knowledge and basic understanding of machine learning models and tabular data.

Key takeaways:
• Learn how Kaggle grandmasters consistently win tabular data Kaggle competitions.
• Learn how to conduct fast experimentation to improve your model accuracy.
• Learn how to explore and combine many diverse models.
• Learn advanced techniques of hill climbing, stacking, and pseudo labeling.
• Learn important EDA and feature engineering principles.",Chris Deotte // Gilberto Titericz,2026
Deploy State-of-the-Art Gen AI on Your RTX PRO Workstation,"This session guides you through the end-to-end deployment of generative image models on NVIDIA RTX PRO workstations by leveraging ONNX Runtime and TensorRT-RTX. We'll demonstrate how to ship a multi-stage model pipeline across a wide set of hardware without sacrificing performance. This workflow will be powered by classic graphics APIs, ONNX Runtime, and the TensorRT-RTX Execution Provider. You'll leave with the skills to convert raw models into high-performance, offline-capable applications that run seamlessly across diverse hardware architectures.
 
Prerequisite(s):

Foundational knowledge of Python and GenAI models

Key takeaways:
• Deploying efficient cross-hardware AI pipelines
• AI deployment with minimal packaging
• Bring models from research to deployment",Julius Tischbein // Maximilian Mueller,2026
Configure and Tune Robot Assets With OpenUSD and PhysX,"Learn from NVIDIA experts about OpenUSD best practices and physics tuning of mechanisms, using the example of a robotic hand. Starting from a URDF file, see how to structure, assemble, and optimize USD. Then learn about the physics tuning process, to enable dexterous hands to behave realistically in simulation. We will focus on best practices that make complex hand models performant, controllable, and ready for downstream learning and control tasks.
 
Prerequisite(s):

Intermediate experience with Python, including working with packages, virtual environments, and basic scripting.

Familiarity with 3D content concepts such as meshes, materials, transforms, and scene hierarchies from tools like Blender, Maya, or similar DCC applications.

Understand command-line usage for running scripts and managing project files.

Have familiarity with robotics or simulation workflows (for example, using simulation tools or working with physics-enabled assets).

Key takeaways:
• Explain the end-to-end process for importing, assembling, and preparing robot USD assets for simulation.​
• Apply best practices to optimize robot USDs (meshes, transforms, structure) for performance and stability.​
• Tune joint parameters and control gains using tools and techniques to achieve desired robot motion in simulation.",Alexandra Kissel // Steven Feng,2026
Tabular Foundation Models for Financial Services,"Tabular data powers entire industries, but building state-of-the-art models for structured data at scale remains complex. In this session, we’ll unveil a comprehensive workflow for building transformer-based tabular foundation models. Each stage of our reference architecture is GPU-accelerated: tabular synthetic data generation, feature engineering and tokenization, training large-scale tabular transformers, and deploying inference pipelines. We apply this workflow to the real-world problem of fraud detection in credit card transactions, highlighting best practices and NVIDIA’s ecosystem for scalable tabular AI.
 
Prerequisite(s):

Participants should be comfortable with basic Python and familiar with core AI/ML and Foundation Model concepts (tokenization, pre-training, fine tuning).
Experience working with financial services data or workflows (e.g., banking, payments) is recommended but not required; the material is designed for technical practitioners such as data scientists, ML engineers, and developers.

Key takeaways:
• Learn to leverage tabular foundation models for structured data across enterprise use cases.
• Apply synthetic data generation to tabular data using NeMo Data Designer.
• Train and scale transformer-based tabular models easily with NeMo Framework.
• Run highly optimized inference using Dynamo-Triton.",Benjamin Wu // Flora Huang // Roman Yokunda Enzmann,2026
Transform Massive Raw Data Into Diverse High-Quality Post-Training Datasets,"Struggling to gather high-quality data for your vision language models? This hands-on training lab walks you through a complete synthetic data generation pipeline—from curation and augmentation to pseudo-annotation and quality control. You’ll learn how to transform any data into a high-quality dataset to post-train your vision language models (VLMs) for your domain-specific use cases.

Key takeaways:
• Learn to implement a complete synthetic data pipeline for vision tasks.
• Understand effective data curation, augmentation, and pseudo-annotation strategies.
• Gain hands-on experience preparing synthetic data into VLM fine-tuning workflows.
• Explore the practical use of VLMs, LLMs, and diffusion models in creation of diverse datasets.
• Leave equipped to generate tailored, high-quality data for your domain-specific applications.",Aidan Ladenburg USDeep Rodge,2026
Supercharge Tabular ML Models With GPU-Accelerated Feature Engineering,"Fast experimentation in feature engineering is essential to quickly discover the most valuable features that improve model performance. In this tutorial, we leverage NVIDIA cuDF and cuML libraries to accelerate the experimentation pipeline on GPUs with their zero-code change features, enabling faster feature engineering and quicker development of more accurate models.
 
Prerequisite(s):

Basic understanding of Python and structured data.

Key takeaways:
• First, you'll learn feature engineering techniques using a publicly available product review dataset.
• Then, you'll train gradient boosted trees and support vector classification models with engineered features to evaluate their impact.
• Before you leave, you'll understand how engineered features can boost ML models’ accuracy, and gain practical skills for real-world use cases.",Chris Deotte // Ronay Ak,2026
